name,size,river,background,mask_roi_13,mask_roi_12,river_roi_13,river_roi_12
image_254.png,"(608, 808)",223917,267347,"(608, 270)","(608, 404)",41502,110685
image_99.png,"(608, 808)",224312,266952,"(608, 270)","(608, 404)",44968,115285
image_241.png,"(608, 808)",221927,269337,"(608, 270)","(608, 404)",41831,111181
image_16.png,"(608, 808)",216523,274741,"(608, 270)","(608, 404)",46710,109493
image_237.png,"(608, 808)",202569,288695,"(608, 270)","(608, 404)",37276,104537
image_95.png,"(608, 808)",216517,274747,"(608, 270)","(608, 404)",45131,115526
image_264.png,"(608, 808)",219201,272063,"(608, 270)","(608, 404)",40783,110177
image_291.png,"(608, 808)",210886,280378,"(608, 270)","(608, 404)",40899,109094
image_305.png,"(608, 808)",214480,276784,"(608, 270)","(608, 404)",39373,108367
image_3.png,"(608, 808)",218424,272840,"(608, 270)","(608, 404)",36619,106623
image_239.png,"(608, 808)",217920,273344,"(608, 270)","(608, 404)",42187,110685
image_297.png,"(608, 808)",212884,278380,"(608, 270)","(608, 404)",40488,109249
image_243.png,"(608, 808)",224420,266844,"(608, 270)","(608, 404)",42998,112586
image_84.png,"(608, 808)",232824,258440,"(608, 270)","(608, 404)",46361,115371
image_280.png,"(608, 808)",219247,272017,"(608, 270)","(608, 404)",40586,109455
image_251.png,"(608, 808)",215682,275582,"(608, 270)","(608, 404)",39360,108178
image_290.png,"(608, 808)",220552,270712,"(608, 270)","(608, 404)",42779,112680
image_304.png,"(608, 808)",210700,280564,"(608, 270)","(608, 404)",41104,109973
image_270.png,"(608, 808)",216278,274986,"(608, 270)","(608, 404)",40768,110383
image_61.png,"(608, 808)",267184,224080,"(608, 270)","(608, 404)",81098,152848
image_42.png,"(608, 808)",260293,230971,"(608, 270)","(608, 404)",76785,149282
image_43.png,"(608, 808)",269361,221903,"(608, 270)","(608, 404)",83879,157940
image_31.png,"(608, 808)",248046,243218,"(608, 270)","(608, 404)",74391,140890
image_69.png,"(608, 808)",235648,255616,"(608, 270)","(608, 404)",53192,122574
image_79.png,"(608, 808)",248024,243240,"(608, 270)","(608, 404)",48843,120105
image_51.png,"(608, 808)",300038,191226,"(608, 270)","(608, 404)",119169,190532
image_229.png,"(608, 808)",209837,281427,"(608, 270)","(608, 404)",42854,111063
image_64.png,"(608, 808)",250599,240665,"(608, 270)","(608, 404)",68733,139232
image_63.png,"(608, 808)",246648,244616,"(608, 270)","(608, 404)",68043,139101
image_54.png,"(608, 808)",265726,225538,"(608, 270)","(608, 404)",94735,164447
image_272.png,"(608, 808)",211693,279571,"(608, 270)","(608, 404)",38031,107222
image_247.png,"(608, 808)",220924,270340,"(608, 270)","(608, 404)",42619,111782
image_34.png,"(608, 808)",278355,212909,"(608, 270)","(608, 404)",92578,164186
image_22.png,"(608, 808)",274187,217077,"(608, 270)","(608, 404)",75213,146770
image_92.png,"(608, 808)",227185,264079,"(608, 270)","(608, 404)",42972,112892
image_250.png,"(608, 808)",215545,275719,"(608, 270)","(608, 404)",40709,109811
image_235.png,"(608, 808)",220162,271102,"(608, 270)","(608, 404)",41065,110034
image_78.png,"(608, 808)",235190,256074,"(608, 270)","(608, 404)",47525,118734
image_98.png,"(608, 808)",213736,277528,"(608, 270)","(608, 404)",46107,116148
image_55.png,"(608, 808)",290675,200589,"(608, 270)","(608, 404)",101713,174058
image_58.png,"(608, 808)",271762,219502,"(608, 270)","(608, 404)",87160,159396
image_10.png,"(608, 808)",227351,263913,"(608, 270)","(608, 404)",35882,104514
image_81.png,"(608, 808)",233318,257946,"(608, 270)","(608, 404)",46391,117733
image_40.png,"(608, 808)",253534,237730,"(608, 270)","(608, 404)",83528,153078
image_284.png,"(608, 808)",228850,262414,"(608, 270)","(608, 404)",44252,113464
image_96.png,"(608, 808)",229662,261602,"(608, 270)","(608, 404)",45033,116010
image_253.png,"(608, 808)",214795,276469,"(608, 270)","(608, 404)",31918,101071
image_53.png,"(608, 808)",295727,195537,"(608, 270)","(608, 404)",114023,186166
image_90.png,"(608, 808)",210871,280393,"(608, 270)","(608, 404)",40366,108984
image_87.png,"(608, 808)",225712,265552,"(608, 270)","(608, 404)",44627,115253
image_83.png,"(608, 808)",228549,262715,"(608, 270)","(608, 404)",44334,113621
image_236.png,"(608, 808)",208172,283092,"(608, 270)","(608, 404)",39824,107852
image_2.png,"(608, 808)",222357,268907,"(608, 270)","(608, 404)",41988,112457
image_103.png,"(608, 808)",218710,272554,"(608, 270)","(608, 404)",44555,113842
image_275.png,"(608, 808)",212088,279176,"(608, 270)","(608, 404)",40509,109337
image_106.png,"(608, 808)",216563,274701,"(608, 270)","(608, 404)",37777,108350
image_93.png,"(608, 808)",225787,265477,"(608, 270)","(608, 404)",47582,117719
image_94.png,"(608, 808)",233145,258119,"(608, 270)","(608, 404)",44522,114915
image_276.png,"(608, 808)",210927,280337,"(608, 270)","(608, 404)",35081,104205
image_24.png,"(608, 808)",271941,219323,"(608, 270)","(608, 404)",79821,151946
image_7.png,"(608, 808)",214613,276651,"(608, 270)","(608, 404)",37416,107106
image_13.png,"(608, 808)",225987,265277,"(608, 270)","(608, 404)",39614,110381
image_35.png,"(608, 808)",275613,215651,"(608, 270)","(608, 404)",105125,177677
image_27.png,"(608, 808)",269399,221865,"(608, 270)","(608, 404)",77963,149532
image_268.png,"(608, 808)",220669,270595,"(608, 270)","(608, 404)",42040,111018
image_11.png,"(608, 808)",220885,270379,"(608, 270)","(608, 404)",41174,111166
image_282.png,"(608, 808)",207652,283612,"(608, 270)","(608, 404)",40609,110298
image_240.png,"(608, 808)",223928,267336,"(608, 270)","(608, 404)",44962,114893
image_76.png,"(608, 808)",238787,252477,"(608, 270)","(608, 404)",49876,121256
image_283.png,"(608, 808)",221580,269684,"(608, 270)","(608, 404)",41497,110710
image_1.png,"(608, 808)",217858,273406,"(608, 270)","(608, 404)",40801,111154
image_238.png,"(608, 808)",219629,271635,"(608, 270)","(608, 404)",41929,110113
image_9.png,"(608, 808)",238282,252982,"(608, 270)","(608, 404)",39674,108857
image_303.png,"(608, 808)",212268,278996,"(608, 270)","(608, 404)",37805,106372
image_5.png,"(608, 808)",226342,264922,"(608, 270)","(608, 404)",39695,111093
image_244.png,"(608, 808)",219521,271743,"(608, 270)","(608, 404)",39571,107844
image_44.png,"(608, 808)",245183,246081,"(608, 270)","(608, 404)",72759,142604
image_33.png,"(608, 808)",212333,278931,"(608, 270)","(608, 404)",62654,112056
image_242.png,"(608, 808)",213510,277754,"(608, 270)","(608, 404)",38765,107518
image_59.png,"(608, 808)",261846,229418,"(608, 270)","(608, 404)",80923,152357
image_266.png,"(608, 808)",218864,272400,"(608, 270)","(608, 404)",39564,108595
image_301.png,"(608, 808)",227248,264016,"(608, 270)","(608, 404)",43046,112615
image_269.png,"(608, 808)",222635,268629,"(608, 270)","(608, 404)",42465,112213
image_50.png,"(608, 808)",271251,220013,"(608, 270)","(608, 404)",100961,171210
image_23.png,"(608, 808)",249672,241592,"(608, 270)","(608, 404)",75693,145238
image_21.png,"(608, 808)",267488,223776,"(608, 270)","(608, 404)",75469,147343
image_68.png,"(608, 808)",238476,252788,"(608, 270)","(608, 404)",54086,124079
image_287.png,"(608, 808)",222753,268511,"(608, 270)","(608, 404)",42520,112313
image_25.png,"(608, 808)",263972,227292,"(608, 270)","(608, 404)",71981,142395
image_97.png,"(608, 808)",218958,272306,"(608, 270)","(608, 404)",44656,114596
image_91.png,"(608, 808)",233456,257808,"(608, 270)","(608, 404)",42263,110485
image_249.png,"(608, 808)",219340,271924,"(608, 270)","(608, 404)",38053,107634
image_277.png,"(608, 808)",211888,279376,"(608, 270)","(608, 404)",40261,108959
image_227.png,"(608, 808)",230361,260903,"(608, 270)","(608, 404)",44983,114479
image_267.png,"(608, 808)",212664,278600,"(608, 270)","(608, 404)",40522,109450
image_294.png,"(608, 808)",222738,268526,"(608, 270)","(608, 404)",41866,110295
image_49.png,"(608, 808)",240471,250793,"(608, 270)","(608, 404)",66254,138624
image_299.png,"(608, 808)",222326,268938,"(608, 270)","(608, 404)",40505,109165
image_279.png,"(608, 808)",217372,273892,"(608, 270)","(608, 404)",39474,108522
image_14.png,"(608, 808)",220637,270627,"(608, 270)","(608, 404)",47934,119064
image_67.png,"(608, 808)",237433,253831,"(608, 270)","(608, 404)",60317,127582
image_278.png,"(608, 808)",208546,282718,"(608, 270)","(608, 404)",36502,104969
image_86.png,"(608, 808)",229581,261683,"(608, 270)","(608, 404)",46352,114910
image_298.png,"(608, 808)",220800,270464,"(608, 270)","(608, 404)",43668,113714
image_100.png,"(608, 808)",230249,261015,"(608, 270)","(608, 404)",45663,116852
image_248.png,"(608, 808)",213158,278106,"(608, 270)","(608, 404)",37639,107174
image_289.png,"(608, 808)",223098,268166,"(608, 270)","(608, 404)",40450,109370
image_273.png,"(608, 808)",217931,273333,"(608, 270)","(608, 404)",38134,106529
image_80.png,"(608, 808)",222456,268808,"(608, 270)","(608, 404)",48635,118556
image_263.png,"(608, 808)",220700,270564,"(608, 270)","(608, 404)",40680,110216
image_105.png,"(608, 808)",215118,276146,"(608, 270)","(608, 404)",39720,110289
image_70.png,"(608, 808)",234059,257205,"(608, 270)","(608, 404)",52689,122373
image_232.png,"(608, 808)",201895,289369,"(608, 270)","(608, 404)",39135,107551
image_46.png,"(608, 808)",233882,257382,"(608, 270)","(608, 404)",64008,134247
image_89.png,"(608, 808)",225426,265838,"(608, 270)","(608, 404)",44341,114166
image_288.png,"(608, 808)",225778,265486,"(608, 270)","(608, 404)",42269,112853
image_6.png,"(608, 808)",218274,272990,"(608, 270)","(608, 404)",37826,109172
image_15.png,"(608, 808)",219148,272116,"(608, 270)","(608, 404)",51343,117045
image_12.png,"(608, 808)",237581,253683,"(608, 270)","(608, 404)",40818,110129
image_256.png,"(608, 808)",221642,269622,"(608, 270)","(608, 404)",41443,110287
image_41.png,"(608, 808)",260169,231095,"(608, 270)","(608, 404)",86465,158013
image_274.png,"(608, 808)",217257,274007,"(608, 270)","(608, 404)",41677,110791
image_85.png,"(608, 808)",230711,260553,"(608, 270)","(608, 404)",44395,113778
image_28.png,"(608, 808)",261972,229292,"(608, 270)","(608, 404)",73283,144564
image_302.png,"(608, 808)",223580,267684,"(608, 270)","(608, 404)",41673,111126
image_4.png,"(608, 808)",227226,264038,"(608, 270)","(608, 404)",40788,111828
image_73.png,"(608, 808)",241441,249823,"(608, 270)","(608, 404)",51591,121527
image_37.png,"(608, 808)",317907,173357,"(608, 270)","(608, 404)",115773,192308
image_285.png,"(608, 808)",224617,266647,"(608, 270)","(608, 404)",42592,112409
image_293.png,"(608, 808)",220054,271210,"(608, 270)","(608, 404)",42857,112025
image_38.png,"(608, 808)",303507,187757,"(608, 270)","(608, 404)",103820,177037
image_18.png,"(608, 808)",243278,247986,"(608, 270)","(608, 404)",57049,125377
image_246.png,"(608, 808)",222954,268310,"(608, 270)","(608, 404)",44069,113627
image_66.png,"(608, 808)",242871,248393,"(608, 270)","(608, 404)",62450,133007
image_258.png,"(608, 808)",215285,275979,"(608, 270)","(608, 404)",40330,109613
image_52.png,"(608, 808)",299561,191703,"(608, 270)","(608, 404)",115752,186633
image_296.png,"(608, 808)",201696,289568,"(608, 270)","(608, 404)",38283,107698
image_71.png,"(608, 808)",234765,256499,"(608, 270)","(608, 404)",55638,127369
image_29.png,"(608, 808)",231409,259855,"(608, 270)","(608, 404)",70358,140715
image_271.png,"(608, 808)",215162,276102,"(608, 270)","(608, 404)",39227,107880
image_20.png,"(608, 808)",264676,226588,"(608, 270)","(608, 404)",74172,145712
image_107.png,"(608, 808)",234791,256473,"(608, 270)","(608, 404)",46861,117572
image_26.png,"(608, 808)",266252,225012,"(608, 270)","(608, 404)",74692,145142
image_286.png,"(608, 808)",228233,263031,"(608, 270)","(608, 404)",42921,112639
image_255.png,"(608, 808)",212118,279146,"(608, 270)","(608, 404)",40415,109714
image_32.png,"(608, 808)",233899,257365,"(608, 270)","(608, 404)",59263,117455
image_17.png,"(608, 808)",208916,282348,"(608, 270)","(608, 404)",46675,102548
image_104.png,"(608, 808)",221448,269816,"(608, 270)","(608, 404)",44283,115549
image_56.png,"(608, 808)",277210,214054,"(608, 270)","(608, 404)",99313,169771
image_230.png,"(608, 808)",221430,269834,"(608, 270)","(608, 404)",44561,113588
image_88.png,"(608, 808)",223074,268190,"(608, 270)","(608, 404)",42759,112877
image_257.png,"(608, 808)",216000,275264,"(608, 270)","(608, 404)",39520,109026
image_300.png,"(608, 808)",218508,272756,"(608, 270)","(608, 404)",41441,110282
image_225.png,"(608, 808)",232868,258396,"(608, 270)","(608, 404)",44878,112922
image_82.png,"(608, 808)",224868,266396,"(608, 270)","(608, 404)",47067,117260
image_39.png,"(608, 808)",248066,243198,"(608, 270)","(608, 404)",84322,144793
image_292.png,"(608, 808)",216928,274336,"(608, 270)","(608, 404)",41415,110853
image_30.png,"(608, 808)",249874,241390,"(608, 270)","(608, 404)",71924,144079
image_226.png,"(608, 808)",230717,260547,"(608, 270)","(608, 404)",44223,111568
image_281.png,"(608, 808)",211873,279391,"(608, 270)","(608, 404)",40404,108874
image_101.png,"(608, 808)",222374,268890,"(608, 270)","(608, 404)",45282,113717
image_228.png,"(608, 808)",215672,275592,"(608, 270)","(608, 404)",44098,112673
image_77.png,"(608, 808)",240559,250705,"(608, 270)","(608, 404)",49817,121316
image_0.png,"(608, 808)",221127,270137,"(608, 270)","(608, 404)",40369,112039
image_231.png,"(608, 808)",209846,281418,"(608, 270)","(608, 404)",40454,109547
image_265.png,"(608, 808)",211582,279682,"(608, 270)","(608, 404)",39137,108048
image_102.png,"(608, 808)",220113,271151,"(608, 270)","(608, 404)",45483,115846
image_8.png,"(608, 808)",217244,274020,"(608, 270)","(608, 404)",32245,101880
image_72.png,"(608, 808)",231967,259297,"(608, 270)","(608, 404)",52517,121563
image_36.png,"(608, 808)",303912,187352,"(608, 270)","(608, 404)",114633,188157
image_262.png,"(608, 808)",216332,274932,"(608, 270)","(608, 404)",42558,112169
image_75.png,"(608, 808)",228418,262846,"(608, 270)","(608, 404)",48887,120126
image_295.png,"(608, 808)",219964,271300,"(608, 270)","(608, 404)",40983,110168
image_45.png,"(608, 808)",235352,255912,"(608, 270)","(608, 404)",63956,134404
image_19.png,"(608, 808)",257503,233761,"(608, 270)","(608, 404)",59937,131115
image_62.png,"(608, 808)",251967,239297,"(608, 270)","(608, 404)",76901,146604
image_65.png,"(608, 808)",255778,235486,"(608, 270)","(608, 404)",64520,134542
image_60.png,"(608, 808)",271390,219874,"(608, 270)","(608, 404)",84621,155602
image_252.png,"(608, 808)",212928,278336,"(608, 270)","(608, 404)",39704,108601
image_47.png,"(608, 808)",252755,238509,"(608, 270)","(608, 404)",74276,146039
image_57.png,"(608, 808)",284904,206360,"(608, 270)","(608, 404)",98497,171541
image_261.png,"(608, 808)",218063,273201,"(608, 270)","(608, 404)",39032,107578
image_259.png,"(608, 808)",215107,276157,"(608, 270)","(608, 404)",39614,108171
image_245.png,"(608, 808)",214716,276548,"(608, 270)","(608, 404)",39998,108039
image_74.png,"(608, 808)",230239,261025,"(608, 270)","(608, 404)",45717,115509
image_233.png,"(608, 808)",219113,272151,"(608, 270)","(608, 404)",41584,111233
image_260.png,"(608, 808)",215946,275318,"(608, 270)","(608, 404)",39722,108950
image_48.png,"(608, 808)",240297,250967,"(608, 270)","(608, 404)",78631,144764
image_234.png,"(608, 808)",213450,277814,"(608, 270)","(608, 404)",42076,112424
